name,predicate,strategy,bugs,initial-scc,scc,initial-classes,classes,initial-bytes,bytes,initial-lines,lines,iters,searches,setup-time,time,status,verify,flaky
url0fb6923c07_rattias_mscviewer,cfr,items+logic,100,6952,1533,368,157,741189,163293,19849,3403,165,0,68.479789208,2512.614227478,success,0136,False
url0fb6923c07_rattias_mscviewer,cfr,jreduce,100,0,1,368,297,831988,702962,0,0,10,1,0.0,204.31087438900002,success,success,False
url0fb6923c07_rattias_mscviewer,fernflower,classes,22,119,2,368,298,741189,629069,19269,16311,17,2,29.575394125,460.93156149099997,success,success,False
url0fb6923c07_rattias_mscviewer,fernflower,items+graph+first,22,4221,9,368,45,741189,52205,19269,967,114,9,68.843594421,1961.824616308,success,0080,False
url0fb6923c07_rattias_mscviewer,fernflower,items+graph+last,22,4248,11,368,57,741189,59649,19269,1096,138,11,81.811778005,2573.852548814,success,0035,False
url0fb6923c07_rattias_mscviewer,fernflower,items+logic,22,6952,474,368,45,741189,52001,19269,964,113,0,73.740669247,1991.990287374,success,0092,False
url0fb6923c07_rattias_mscviewer,fernflower,jreduce,22,0,2,368,298,831988,705511,0,0,18,2,0.0,406.735959834,success,success,False
url0fb6923c07_rattias_mscviewer,procyon,classes,41,119,1,368,300,741189,640971,19739,16887,9,1,37.304872636,294.55970392300003,success,success,False
url0fb6923c07_rattias_mscviewer,procyon,items+graph+first,41,4221,23,368,79,741189,89792,19739,2139,289,23,99.538313152,6575.70375264,success,0072,False
url0fb6923c07_rattias_mscviewer,procyon,items+graph+last,41,4248,26,368,92,741189,103594,19739,2431,329,26,88.993995889,7121.929472606,success,0047,False
url0fb6923c07_rattias_mscviewer,procyon,items+logic,41,6952,726,368,79,741189,89232,19739,2122,314,0,87.443837891,8284.74429695,success,0173,False
url0fb6923c07_rattias_mscviewer,procyon,jreduce,41,0,1,368,300,831988,718558,0,0,10,1,0.0,310.69143357200005,success,success,False
url10615400cc_rastarise_java7,cfr,classes,86,354,14,395,28,386163,75831,9266,2331,127,14,16.277946895,1505.551817262,success,success,False
url10615400cc_rastarise_java7,cfr,items+graph+first,86,2318,19,395,26,386163,36596,9266,1009,229,19,28.602486572,3034.574293581,success,success,False
url10615400cc_rastarise_java7,cfr,items+graph+last,86,2319,19,395,26,386163,36596,9266,1009,229,19,26.228125175,2686.041826996,success,success,False
url10615400cc_rastarise_java7,cfr,items+logic,86,3022,148,395,26,386163,36596,9266,1009,198,0,30.063988729,2349.312870553,success,success,False
url10615400cc_rastarise_java7,cfr,jreduce,86,0,14,395,28,440797,85052,0,0,123,14,0.0,1210.698018714,success,success,False
url10615400cc_rastarise_java7,fernflower,classes,1,354,1,395,1,386163,418,8750,8,11,1,21.09497774,133.771076596,success,success,False
url10615400cc_rastarise_java7,fernflower,items+graph+first,1,2318,1,395,1,386163,371,8748,8,13,1,27.920204411,169.318980268,success,success,False
url10615400cc_rastarise_java7,fernflower,items+graph+last,1,2319,1,395,1,386163,371,8748,8,14,1,26.149746052,173.935509617,success,success,False
url10615400cc_rastarise_java7,fernflower,items+logic,1,3022,4,395,1,386163,371,8748,8,13,0,28.417664574,255.01707933500003,success,success,False
url10615400cc_rastarise_java7,fernflower,jreduce,1,0,1,395,1,440797,513,0,0,11,1,0.0,76.62686300200001,success,success,False
url10615400cc_rastarise_java7,procyon,classes,28,354,14,395,24,386163,55281,8774,1488,125,14,21.962689287,1825.673805932,success,success,False
url10615400cc_rastarise_java7,procyon,items+graph+first,28,2318,16,395,19,386163,19324,8774,408,192,16,33.143496462,3015.913601699,success,success,False
url10615400cc_rastarise_java7,procyon,items+graph+last,28,2319,16,395,19,386163,19324,8774,408,189,16,32.451772885,3107.874605251,success,success,False
url10615400cc_rastarise_java7,procyon,items+logic,28,3022,101,395,19,386163,19324,8774,408,185,0,36.810876089,3502.669256364,success,success,False
url10615400cc_rastarise_java7,procyon,jreduce,28,0,14,395,24,440797,61930,0,0,112,14,0.0,1173.0867348420002,success,success,False
url10ddd02651_dangercrow_Cambridge_Ticks_1A,cfr,classes,6,102,6,116,18,157294,22560,5035,692,46,6,7.652771277,300.89195602800004,success,success,False
url10ddd02651_dangercrow_Cambridge_Ticks_1A,cfr,items+graph+first,6,1382,6,116,18,157294,14222,5035,402,70,6,17.290176027,490.003957039,success,success,False
